"","Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Type"
"1",1,1,1,"T1_T2","c_Viruses","VP",1.21587320661971,2.43174641323943,0.66440015854891,0.455709387178335,"LM_AP"
"2",1,1,1,"T1_T3","c_Viruses","VP",0.351850397146783,1.05555119144035,0.338792591195595,0.133510000316757,"LM_AP"
"3",1,1,1,"T1_T4","c_Viruses","VP",0.056927754973865,0.22771101989546,0.205811522783515,0.00759274254244183,"LM_AP"
"4",1,1,1,"T1_T5","c_Viruses","VP",-0.0295629628566099,-0.147814814283049,0.135924007596625,0.003625624071626,"LM_AP"
"5",1,1,1,"T1_T6","c_Viruses","VP",0.0191364806070974,0.114818883642584,0.102545915142627,0.00217181682089438,"LM_AP"
"6",1,2,1,"T1_T2","c_Viruses","VP",0.406211111061503,0.812422222123005,0.889269073241962,0.049578510535924,"LM_AP"
"7",1,2,1,"T1_T3","c_Viruses","VP",0.503676227830765,1.5110286834923,0.441389145876429,0.156844485454678,"LM_AP"
"8",1,2,1,"T1_T4","c_Viruses","VP",0.479206830358693,1.91682732143477,0.240656830157624,0.283927103082098,"LM_AP"
"9",1,2,1,"T1_T5","c_Viruses","VP",0.12890556927577,0.644527846378851,0.20432113719582,0.029708162696135,"LM_AP"
"10",1,2,1,"T1_T6","c_Viruses","VP",0.0120474737004693,0.0722848422028161,0.146228494238163,0.000424056545181978,"LM_AP"
"11",1,3,1,"T1_T2","c_Viruses","VP",-0.541065101173357,-1.08213020234671,0.44929227634228,0.266087931677298,"LM_AP"
"12",1,3,1,"T1_T3","c_Viruses","VP",-0.201590648311309,-0.604771944933926,0.285716418281364,0.0663950174640667,"LM_AP"
"13",1,3,1,"T1_T4","c_Viruses","VP",-0.084039753383162,-0.336159013532648,0.208784006366791,0.0159439137468503,"LM_AP"
"14",1,3,1,"T1_T5","c_Viruses","VP",0.0553895269208764,0.276947634604382,0.139716506870554,0.0119453121852408,"LM_AP"
"15",1,3,1,"T1_T6","c_Viruses","VP",-0.0562884728783395,-0.337730837270037,0.103329995257882,0.0182089622005395,"LM_AP"
"16",1,4,1,"T1_T2","c_Viruses","VP",0.139065087978865,0.27813017595773,0.869933939521032,0.00634801571473418,"LM_AP"
"17",1,4,1,"T1_T3","c_Viruses","VP",0.0758603362249287,0.227581008674786,0.386967493529595,0.00546015166636847,"LM_AP"
"18",1,4,1,"T1_T4","c_Viruses","VP",-0.168435737932013,-0.673742951728054,0.227994177854364,0.0517537820660471,"LM_AP"
"19",1,4,1,"T1_T5","c_Viruses","VP",-0.142373102785039,-0.711865513925193,0.151597388904848,0.0635360441327844,"LM_AP"
"20",1,4,1,"T1_T6","c_Viruses","VP",0.00622614293522963,0.0373568576113778,0.12620711358669,0.000152084329563749,"LM_AP"
"21",1,5,1,"T1_T2","c_Viruses","VP",-0.506558574703784,-1.01311714940757,0.502866170563509,0.202351364505098,"LM_AP"
"22",1,5,1,"T1_T3","c_Viruses","VP",0.0863880815074052,0.259164244522215,0.271687841695364,0.0142377510039866,"LM_AP"
